Repository,Is Fork,Last Updated,ASN1C Source Last Updated,Status,Abandonment Date,Stars,Forks
coreswitch/coreswitch,False,2019-09-30 23:18:26+00:00,2019-08-19 05:52:53+00:00,Abandoned,,14,0
OPENAIRINTERFACE/oai-libngapcodec,False,2021-06-28 12:43:17+00:00,2019-04-12 15:23:45+00:00,Abandoned,2021-06-28 12:43:17+00:00,2,0
openaicellular/srsRAN-e2,False,2022-04-22 21:52:20+00:00,2022-03-15 06:11:02+00:00,Abandoned,2022-04-22 21:52:20+00:00,8,0
GTkernel/nextepc,False,2021-09-16 17:40:59+00:00,2017-02-28 01:15:13+00:00,Abandoned,,2,0
pragnyakiri/UERANSIM-Handover,False,2021-07-10 14:06:26+00:00,2021-02-10 10:45:24+00:00,Abandoned,2021-07-10 14:06:26+00:00,4,0
OreoFroyo/UERANSIM_beforehandHO,False,2024-05-14 11:39:16+00:00,2023-11-21 03:14:27+00:00,Active,,7,0
openaicellular/srslte-e2,False,2023-06-16 14:42:50+00:00,2023-06-16 14:42:50+00:00,YoungRepo,,0,0
huahuaLover/UERANSIM,False,2024-07-09 03:12:04+00:00,2021-02-10 10:45:24+00:00,Active,,2,0
yakovenkov/enb_l1_b4860_ppc,False,2021-09-16 11:49:40+00:00,2021-09-10 20:51:49+00:00,Abandoned,,0,0
virtual-vehicle/vehicle_captain_routing_core,False,2024-01-08 14:20:13+00:00,2024-01-08 13:54:46+00:00,ActiveLessThan10CommitsThisYear,,4,0
kruffka/sandbox,False,2022-11-15 09:57:51+00:00,2022-06-06 09:16:35+00:00,Abandoned,2022-11-15 09:57:51+00:00,2,0
stevenchiu30801/free5gc-stage-2,False,2020-05-02 05:08:35+00:00,2020-03-20 03:06:09+00:00,Abandoned,,0,0
saffanazyan07/z-agf,False,2024-09-23 09:03:58+00:00,2021-02-10 10:45:24+00:00,Active,,0,0
root-hbx/ueransim-satellite,False,2025-01-11 19:58:50+00:00,2021-02-10 10:45:24+00:00,UnknownFutureRepo,,0,0
Haw984/gNB_UERANSIM,False,2024-11-07 08:46:29+00:00,2021-02-10 10:45:24+00:00,Active,,0,0
yolo00001/UERANSIM,False,2024-04-17 13:42:59+00:00,2021-02-10 10:45:24+00:00,Active,,0,0
rjaeka456/UERAN-EXTENSION,False,2021-12-24 02:13:25+00:00,2021-02-10 10:45:24+00:00,Abandoned,2021-12-24 02:13:25+00:00,0,0
ttiger0114/UERANSIM,False,2021-07-01 05:53:10+00:00,2021-02-10 10:45:24+00:00,Abandoned,2021-07-01 05:53:10+00:00,0,0
saffanazyan07/z-UERANSIM-W-AGF,False,2024-10-28 04:29:18+00:00,2024-10-09 13:11:58+00:00,Active,,1,0
enable-intelligent-containerized-5g/ueransim,False,2024-11-29 04:47:44+00:00,2021-02-10 10:45:24+00:00,Active,,0,0
rjaeka456/UERANSIM-LITE,False,2023-08-11 06:13:53+00:00,2021-02-10 10:45:24+00:00,Active,,0,0
jordanvrtanoski/UERANSIM-private,False,2025-01-11 19:58:50+00:00,2021-02-10 10:45:24+00:00,UnknownFutureRepo,,0,0
